Town,County,Per capita income,Location,Lat,Lon
"Liberty Township, Mercer County, Pennsylvania",Mercer County,"$20,861 ","Liberty Township, Mercer County, Pennsylvania, USA",41.1071565,-80.10003857
"Mount Cobb, Pennsylvania",Lackawanna County,"$20,855 ","Mount Cobb, Lackawanna County, Pennsylvania, 11844, USA",41.4089718,-75.4974069
"Adamstown, Pennsylvania",Lancaster County,"$20,840 ","Adamstown, Lancaster County, Pennsylvania, 17564, USA",40.2412035,-76.0563303
"Shohola Township, Pennsylvania",Pike County,"$20,840 ","Shohola Township, Pike County, Pennsylvania, USA",41.41923475,-74.89412431
"Sanatoga, Pennsylvania",Montgomery County,"$20,816 ","Sanatoga, New Kepler Road, Lower Pottsgrove Township, Montgomery County, Pennsylvania, 19464, USA",40.2520825,-75.58471069
"Marion Township, Beaver County, Pennsylvania",Beaver County,"$20,808 ","Marion Township, Beaver County, Pennsylvania, USA",40.7944325,-80.21368147
"Hopewell Township, Beaver County, Pennsylvania",Beaver County,"$20,802 ","Hopewell Township, Beaver County, Pennsylvania, 15001, USA",40.5923016,-80.2629663
"Buffalo Township, Butler County, Pennsylvania",Butler County,"$20,798 ","Buffalo Township, Butler County, Pennsylvania, USA",40.7149082,-79.73850086
"North Huntingdon Township, Pennsylvania",Westmoreland County,"$20,786 ","North Huntingdon Township, Westmoreland County, Pennsylvania, USA",40.3372785,-79.74820736
"Trumbauersville, Pennsylvania",Bucks County,"$20,778 ","Trumbauersville, Bucks County, Pennsylvania, 18970, USA",40.4106569,-75.3782339
"White Oak, Pennsylvania",Allegheny County,"$20,775 ","White Oak, Allegheny County, Pennsylvania, 15131, USA",40.3375695,-79.8092133
"Madison, Pennsylvania",Westmoreland County,"$20,773 ","Madison, Westmoreland County, Pennsylvania, USA",40.2472924,-79.6772645
"Upper Darby Township, Pennsylvania",Delaware County,"$20,770 ","Pennsylvania Avenue, Upper Darby, Delaware County, Pennsylvania, 19082, USA",39.9584224,-75.2713516
"West Caln Township, Pennsylvania",Chester County,"$20,752 ","West Caln Township, Chester County, Pennsylvania, 19320:19344, USA",40.0220446,-75.89815178
"Thornhurst Township, Pennsylvania",Lackawanna County,"$20,751 ","Thornhurst, Lackawanna County, Pennsylvania, 18437, USA",41.1784177,-75.5804658
"Toughkenamon, Pennsylvania",Chester County,"$20,745 ","Toughkenamon, Hiview Drive, Bucktoe Manor, New Garden Township, Chester County, Pennsylvania, 19311, USA",39.8328115,-75.75352143
"Pleasant Township, Pennsylvania",Warren County,"$20,731 ","Pleasant Township, Warren County, Pennsylvania, 16329, USA",41.7903731,-79.21725973
"Tobyhanna Township, Pennsylvania",Monroe County,"$20,726 ","Tobyhanna Township, Monroe County, Pennsylvania, USA",41.11824155,-75.52623653
"Centre Township, Berks County, Pennsylvania",Berks County,"$20,718 ","Centre Township, Berks County, Pennsylvania, 19541, USA",40.4727271,-76.01915167
"Tunkhannock, Pennsylvania",Wyoming County,"$20,707 ","Tunkhannock, Wyoming County, Pennsylvania, 18657, USA",41.5385159,-75.946844
"Homeacre-Lyndora, Pennsylvania",Butler County,"$20,705 ","Homeacre-Lyndora, Butler Township, Butler County, Pennsylvania, USA",40.8659375,-79.92555677
"Gastonville, Pennsylvania",Washington County,"$20,696 ","Gastonville, Union Township, Washington County, Pennsylvania, 15336, USA",40.26623265,-80.00981006
"Hamburg, Pennsylvania",Berks County,"$20,689 ","Hamburg, Berks County, Pennsylvania, 19526, USA",40.5555764,-75.9822929
"Russellton, Pennsylvania",Allegheny County,"$20,682 ","Russellton, West Deer Township, Allegheny County, Pennsylvania, 15076, USA",40.6104995,-79.84209854
"Washington Township, Franklin County, Pennsylvania",Franklin County,"$20,673 ","Washington Township Police Department, Welty Road, Wayne Heights, Franklin County, Pennsylvania, 17268, USA",39.7433939,-77.55666544
"Newberry Township, York County, Pennsylvania",York County,"$20,660 ","Newberry Township, York County, Pennsylvania, USA",40.13026905,-76.80406414
"North Franklin Township, Pennsylvania",Washington County,"$20,654 ","North Franklin Township, Washington County, Pennsylvania, USA",40.147431,-80.26792585
"Valley Township, Chester County, Pennsylvania",Chester County,"$20,648 ","Valley Township, Chester County, Pennsylvania, USA",39.98298975,-75.85767271
"Plainfield Township, Pennsylvania",Northampton County,"$20,639 ","Plainfield Township, Northampton County, Pennsylvania, 18072, USA",40.8156704,-75.26202355
"South Pymatuning Township, Pennsylvania",Mercer County,"$20,637 ","South Pymatuning Township, Mercer County, Pennsylvania, USA",41.317936,-80.4894877
"Hollidaysburg, Pennsylvania",Blair County,"$20,634 ","Hollidaysburg, Blair County, Pennsylvania, United States of America",40.430774,-78.3900826
"Red Hill, Pennsylvania",Montgomery County,"$20,633 ","Red Hill, Montgomery County, Pennsylvania, 18076, USA",40.3780761,-75.4816139
"Muncy Township, Pennsylvania",Lycoming County,"$20,621 ","Muncy, Lycoming County, Pennsylvania, USA",41.20484,-76.7870991
"Sadsbury Township, Crawford County, Pennsylvania",Crawford County,"$20,615 ","Sadsbury Township, Crawford County, Pennsylvania, 16316, USA",41.604381,-80.35699365
"Warren South, Pennsylvania",Warren County,"$20,614 ","Warren South, Pleasant Township, Warren County, Pennsylvania, USA",41.8310854,-79.14923691
"Alburtis, Pennsylvania",Lehigh County,"$20,611 ","Alburtis, Lehigh County, Pennsylvania, USA",40.5109297,-75.6029653
"Lititz, Pennsylvania",Lancaster County,"$20,601 ","Lititz, Lancaster County, Pennsylvania, 17543, USA",40.1571252,-76.3072103
"Forestville, Schuylkill County, Pennsylvania",Schuylkill County,"$20,599 ","Forestville, Schuylkill County, Pennsylvania, USA",40.6922107,-76.28921047
"North Annville Township, Pennsylvania",Lebanon County,"$20,593 ","North Annville Township, Lebanon County, Pennsylvania, USA",40.3585385,-76.55137479
"Elk Township, Warren County, Pennsylvania",Warren County,"$20,592 ","Elk Township, Warren County, Pennsylvania, USA",41.94472405,-78.99096053
"Mountainhome, Pennsylvania",Monroe County,"$20,580 ","Mountainhome, Monroe County, Pennsylvania, 18342, USA",41.1737016,-75.271015
"Kingston, Pennsylvania",Luzerne County,"$20,568 ","Kingston, Luzerne County, Pennsylvania, USA",41.2617481,-75.8968635
"Quakertown, Pennsylvania",Bucks County,"$20,562 ","Quakertown, Bucks County, Pennsylvania, USA",40.4417682,-75.3415667
"East Manchester Township, York County, Pennsylvania",York County,"$20,559 ","East Manchester Township, York County, Pennsylvania, USA",40.0642055,-76.68075572
"Forty Fort, Pennsylvania",Luzerne County,"$20,558 ","Forty Fort, Luzerne County, Pennsylvania, USA",41.2789699,-75.8782519
"East Norwegian Township, Pennsylvania",Schuylkill County,"$20,555 ","Norwegian Township, Schuylkill County, Pennsylvania, USA",40.693961,-76.23270102
"Washington Township, York County, Pennsylvania",York County,"$20,550 ","Washington Township, York County, Pennsylvania, USA",40.00610235,-76.96895465
"Ligonier, Pennsylvania",Westmoreland County,"$20,546 ","Ligonier, Westmoreland County, Pennsylvania, USA",40.2430966,-79.2376363
"Jerseytown, Pennsylvania",Columbia County,"$20,538 ","Jerseytown, Columbia County, Pennsylvania, USA",41.0899555,-76.58263227
"Clifton Heights, Pennsylvania",Delaware County,"$20,534 ","Clifton Heights, Delaware County, Pennsylvania, USA",39.9292791,-75.2962972
"Laureldale, Pennsylvania",Berks County,"$20,522 ","Laureldale, Berks County, Pennsylvania, USA",40.3881487,-75.9179849
"Dormont, Pennsylvania",Allegheny County,"$20,520 ","Dormont, Allegheny County, Pennsylvania, USA",40.3959026,-80.0331092
"Castle Shannon, Pennsylvania",Allegheny County,"$20,518 ","Castle Shannon, Allegheny County, Pennsylvania, 15234, USA",40.3647917,-80.0222753
"Hanover, Pennsylvania",York County,"$20,516 ","Hanover, York County, Pennsylvania, 17331, USA",39.8063247,-76.9842735
"Dover Township, York County, Pennsylvania",York County,"$20,513 ","Dover Township, York County, Pennsylvania, USA",40.019127,-76.86795815
"Norwood, Pennsylvania",Delaware County,"$20,513 ","Norwood, Delaware County, Pennsylvania, 19074, USA",39.8917793,-75.2996309
"Palmyra, Pennsylvania",Lebanon County,"$20,500 ","Palmyra, Lebanon County, Pennsylvania, USA",40.3088578,-76.5932369
"Upper Bern Township, Pennsylvania",Berks County,"$20,499 ","Upper Bern Township, Berks County, Pennsylvania, 19554, USA",40.5219595,-76.09437541
"East Donegal Township, Pennsylvania",Washington County,"$20,488 ","Donegal Township, Washington County, Pennsylvania, USA",40.137021,-80.46331461
"Lyons, Pennsylvania",Berks County,"$20,459 ","Lyons, Berks County, Pennsylvania, 19536, USA",40.4820387,-75.757694
"Rostraver Township, Pennsylvania",Westmoreland County,"$20,455 ","Rostraver Township, Westmoreland County, Pennsylvania, USA",40.177587,-79.80899559
"Washington Township, Berks County, Pennsylvania",Berks County,"$20,454 ","Washington Township, Berks County, Pennsylvania, USA",40.3886643,-75.6125597
"Potter Township, Beaver County, Pennsylvania",Beaver County,"$20,451 ","Potter Township, Beaver County, Pennsylvania, USA",40.658209,-80.34216747
"Ralpho Township, Pennsylvania",Northumberland County,"$20,449 ","Ralpho Township, Northumberland County, Pennsylvania, 17824, USA",40.844631,-76.54441793
"Speers, Pennsylvania",Washington County,"$20,446 ","Speers, Washington County, Pennsylvania, USA",40.1245169,-79.8797694
"Swatara Township, Lebanon County, Pennsylvania",Lebanon County,"$20,440 ","Swatara Township, Lebanon County, Pennsylvania, USA",40.4411765,-76.47510196
"McGovern, Pennsylvania",Washington County,"$20,437 ","McGovern, Chartiers Township, Washington County, Pennsylvania, 15342, USA",40.2289349,-80.2167586
"Penn Lake Park, Pennsylvania",Luzerne County,"$20,437 ","Penn Lake Park, Luzerne County, Pennsylvania, 18957, USA",41.1131391,-75.7749154
"Seltzer, Pennsylvania",Schuylkill County,"$20,422 ","Seltzer, Schuylkill County, Pennsylvania, 17974, USA",40.6953675,-76.2338347
"Sandy Township, Pennsylvania",Clearfield County,"$20,420 ","Sandy Township, Clearfield County, Pennsylvania, USA",41.140373,-78.72833829
"Rapho Township, Pennsylvania",Lancaster County,"$20,412 ","Rapho Township Community Park, Donegal Heights, Lancaster County, Pennsylvania, USA",40.11917175,-76.47395776
"Rupert, Pennsylvania",Columbia County,"$20,412 ","Rupert, Columbia County, Pennsylvania, USA",40.9792537,-76.4741141
"Ryan Township, Pennsylvania",Schuylkill County,"$20,403 ","Ryan Township, Schuylkill County, Pennsylvania, USA",40.7992639,-76.06958879
"North Bethlehem Township, Pennsylvania",Washington County,"$20,399 ","North Bethlehem Township, Washington County, Pennsylvania, 15360, USA",40.102635,-80.11313316
"Bradford Township, McKean County, Pennsylvania",McKean County,"$20,397 ","Bradford Township, McKean County, Pennsylvania, USA",41.920862,-78.69190169
"Carroll Township, Washington County, Pennsylvania",Washington County,"$20,380 ","Carroll Township, Washington County, Pennsylvania, USA",40.1850505,-79.95387346
"West Pittston, Pennsylvania",Luzerne County,"$20,370 ","West Pittston, Luzerne County, Pennsylvania, USA",41.3279106,-75.8007112
"West Deer Township, Pennsylvania",Allegheny County,"$20,358 ","West Deer Township, Allegheny County, Pennsylvania, United States of America",40.6371978,-79.8692335
"West Lawn, Pennsylvania",Berks County,"$20,357 ","West Lawn, Berks County, Pennsylvania, 19609, USA",40.3298147,-75.994381
"Ringtown, Pennsylvania",Schuylkill County,"$20,345 ","Ringtown, Schuylkill County, Pennsylvania, USA",40.8586985,-76.2296624
"Perry Township, Berks County, Pennsylvania",Berks County,"$20,343 ","Perry Township, Berks County, Pennsylvania, 19555, USA",40.5024525,-75.92393916
"Baidland, Pennsylvania",Washington County,"$20,338 ","Baidland, Carroll Township, Washington County, Pennsylvania, USA",40.187914,-79.94978141
"Lehman Township, Luzerne County, Pennsylvania",Luzerne County,"$20,312 ","Lehman, Luzerne County, Pennsylvania, 18627, USA",41.3170249,-76.0224235
"West Cocalico Township, Pennsylvania",Lancaster County,"$20,306 ","Cocalico, Lancaster County, Pennsylvania, 17039, USA",40.2887033,-76.2032823
"Shrewsbury, Pennsylvania",York County,"$20,292 ","Shrewsbury, York County, Pennsylvania, USA",39.7687574,-76.6796518
"Corydon Township, Pennsylvania",McKean County,"$20,283 ","Corydon Township, McKean County, Pennsylvania, 16725, USA",41.904647,-78.84824946
"Fawn Township, York County, Pennsylvania",York County,"$20,271 ","Fawn Township, York County, Pennsylvania, USA",39.764347,-76.46316946
"Hanover Township, Lehigh County, Pennsylvania",Lehigh County,"$20,265 ","Hanover Township, Lehigh County, Pennsylvania, USA",40.65140085,-75.44066264
"Lenape Heights, Pennsylvania",Armstrong County,"$20,261 ","Lenape Heights, Manor Township, Armstrong County, Pennsylvania, 16226, USA",40.7668475,-79.52394888
"Guilford Township, Pennsylvania",Franklin County,"$20,258 ","Guilford, Franklin County, Pennsylvania, 17202, USA",39.86537,-77.6124907
"Greene Township, Pike County, Pennsylvania",Pike County,"$20,253 ","Greene Township, Pike County, Pennsylvania, USA",41.30780315,-75.25089744
"Dunnstown, Pennsylvania",Clinton County,"$20,251 ","Dunnstown, Clinton County, Pennsylvania, USA",41.1459027,-77.421369
"Point Township, Pennsylvania",Bedford County,"$20,251 ","Point, Bedford County, Pennsylvania, 15554, USA",40.0775797,-78.6002963
"Hughestown, Pennsylvania",Luzerne County,"$20,246 ","Hughestown, Luzerne County, Pennsylvania, USA",41.3270244,-75.7732488
"East Butler, Pennsylvania",Butler County,"$20,242 ","East Butler, Butler County, Pennsylvania, 16029, USA",40.8778419,-79.8464422
"Scott Township, Lackawanna County, Pennsylvania",Lackawanna County,"$20,242 ","Scott, Lackawanna County, Pennsylvania, USA",41.5695241,-75.6321327
"Middle Smithfield Township, Pennsylvania",Monroe County,"$20,235 ","Middle Smithfield Township, Monroe County, Pennsylvania, USA",41.09124545,-75.11176214
"Richmond Township, Berks County, Pennsylvania",Berks County,"$20,235 ","Richmond Township, Berks County, Pennsylvania, 19564, USA",40.4879795,-75.83168626
"Latimore Township, Pennsylvania",Pike County,"$20,230 ","Lake Latimore Dam, Delaware Township, Pike County, Pennsylvania, 18328, USA",41.2467605,-74.9246147
"Swatara Township, Dauphin County, Pennsylvania",Dauphin County,"$20,224 ","Swatara, Swatara Crest, Dauphin County, Pennsylvania, 17111, USA",40.2434599,-76.796745
"West Leechburg, Pennsylvania",Westmoreland County,"$20,192 ","West Leechburg, Westmoreland County, Pennsylvania, USA",40.6222878,-79.6128236
"New Holland, Pennsylvania",Lancaster County,"$20,187 ","New Holland, Lancaster County, Pennsylvania, 17557, USA",40.1017643,-76.085227
"Glenolden, Pennsylvania",Delaware County,"$20,173 ","Glenolden, Delaware County, Pennsylvania, 19036, USA",39.9001126,-75.2890745
"Export, Pennsylvania",Westmoreland County,"$20,170 ","Export, Westmoreland County, Pennsylvania, 15632, USA",40.4181235,-79.625599
"Hempfield Township, Mercer County, Pennsylvania",Mercer County,"$20,169 ","Hempfield Township, Mercer County, Pennsylvania, USA",41.394634,-80.34178596
"Penn Hills Township, Pennsylvania",Allegheny County,"$20,161 ","Penn Hills, Allegheny County, Pennsylvania, United States of America",40.4729398,-79.8176723
"McSherrystown, Pennsylvania",Adams County,"$20,158 ","McSherrystown, Adams County, Pennsylvania, 17344, USA",39.8073216,-77.0113699
"Conoy Township, Pennsylvania",York County,"$20,157 ","Conoy Site, Chestnut Hill, Franklin Township, York County, Pennsylvania, USA",40.09416135,-77.09637097
"Leesport, Pennsylvania",Berks County,"$20,148 ","Leesport, Berks County, Pennsylvania, USA",40.4470377,-75.9663222
"Somerset Township, Washington County, Pennsylvania",Washington County,"$20,146 ","Somerset Township, Washington County, Pennsylvania, USA",40.1329005,-80.04983206
"Pine Grove Township, Warren County, Pennsylvania",Warren County,"$20,144 ","Pine Grove Township, Warren County, Pennsylvania, 16345, USA",41.94381855,-79.11580845
"Lower Burrell, Pennsylvania",Westmoreland County,"$20,143 ","Lower Burrell, Westmoreland County, Pennsylvania, 15068, USA",40.5882821,-79.7298187
"Spring Grove, Pennsylvania",York County,"$20,124 ","Spring Grove, York County, Pennsylvania, USA",39.8745437,-76.8658078
"Hellertown, Pennsylvania",Northampton County,"$20,119 ","Hellertown, Northampton County, Pennsylvania, USA",40.58168445,-75.33606128
"Palmyra Township, Pike County, Pennsylvania",Wayne County,"$20,110 ","Palmyra Township, Wayne County, Pennsylvania, 18488, USA",41.498871,-75.19521179
"Fawn Grove, Pennsylvania",York County,"$20,105 ","Fawn Grove, York County, Pennsylvania, USA",39.727882,-76.4519078
"Hebron Township, Pennsylvania",Lebanon County,"$20,101 ","Hebron, Lebanon County, Pennsylvania, 17046, USA",40.3389255,-76.3992211
"Polk Township, Monroe County, Pennsylvania",Monroe County,"$20,090 ","Polk Township, Monroe County, Pennsylvania, USA",40.9338015,-75.50709847
"Hasson Heights, Pennsylvania",Venango County,"$20,088 ","Hasson Heights, Cornplanter Township, Venango County, Pennsylvania, 16301, USA",41.4489487,-79.6769962
"Cross Roads, Pennsylvania",York County,"$20,063 ","Cross Roads, York County, Pennsylvania, USA",39.8195464,-76.5766337
"Franklin Township, Beaver County, Pennsylvania",Beaver County,"$20,062 ","Franklin Township, Beaver County, Pennsylvania, USA",40.8209145,-80.20230854
"East Bangor, Pennsylvania",Northampton County,"$20,056 ","East Bangor, Northampton County, Pennsylvania, USA",40.8795404,-75.1837895
"Wilkes-Barre Township, Pennsylvania",Luzerne County,"$20,055 ","Wilkes-Barre Township, Luzerne County, Pennsylvania, USA",41.23369915,-75.8536417
"Upper Yoder Township, Pennsylvania",Montgomery County,"$20,053 ","Yoder Road, Lower Salford Township, Montgomery County, Pennsylvania, 19438, United States of America",40.2840709,-75.3735197
"Levittown, Pennsylvania",Bucks County,"$20,047 ","Levittown, Haines Road, Bristol Township, Bucks County, Pennsylvania, 19055, USA",40.1573365,-74.83227963
"Hepburn Township, Pennsylvania",Montgomery County,"$20,044 ","Hepburn Drive, Lower Merion Township, Montgomery County, Pennsylvania, 19085, USA",40.0520498,-75.3220686
"Houserville, Pennsylvania",Centre County,"$20,035 ","Houserville, Oak Lane, Limerock Terrace, University Park, College Township, Centre County, Pennsylvania, 16801, USA",40.82624475,-77.82359125
"Harborcreek Township, Erie County, Pennsylvania",Erie County,"$20,025 ","Harborcreek Township, Erie County, Pennsylvania, USA",42.1663697,-79.952657
"Brentwood, Pennsylvania",Allegheny County,"$20,024 ","Brentwood, Allegheny County, Pennsylvania, 15227, USA",40.3732693,-79.9756206
"Chestnuthill Township, Pennsylvania",Monroe County,"$20,017 ","Chestnuthill Township, Monroe County, Pennsylvania, USA",40.95714215,-75.41988064
"North Centre Township, Pennsylvania",Berks County,"$20,010 ","Centre Township, Berks County, Pennsylvania, 19541, USA",40.4727271,-76.01915167
"Kratzerville, Pennsylvania",Snyder County,"$20,008 ","Kratzerville, Snyder County, Pennsylvania, USA",40.8600847,-76.8958038
"Ross Township, Monroe County, Pennsylvania",Monroe County,"$20,002 ","Ross Township, Monroe County, Pennsylvania, USA",40.87577215,-75.35863227
"Akron, Pennsylvania",Lancaster County,"$19,983 ","Akron, Lancaster County, Pennsylvania, USA",40.1567616,-76.2021742
"Washington Township, Lehigh County, Pennsylvania",Lehigh County,"$19,980 ","Washington Township, Lehigh County, Pennsylvania, USA",40.7171855,-75.62967049
"Sellersville, Pennsylvania",Bucks County,"$19,970 ","Sellersville, Bucks County, Pennsylvania, 18960, USA",40.3542858,-75.3050079
"West Grove, Pennsylvania",Chester County,"$19,967 ","West Grove, Chester County, Pennsylvania, USA",39.8220536,-75.8274413
"Woodbury, Pennsylvania",Bedford County,"$19,965 ","Woodbury, Bedford County, Pennsylvania, USA",40.2264672,-78.3666805
"Codorus Township, York County, Pennsylvania",York County,"$19,955 ","Codorus Township, York County, Pennsylvania, USA",39.7811845,-76.79444244
"Newburg, Cumberland County, Pennsylvania",Cumberland County,"$19,950 ","Newburg, Cumberland County, Pennsylvania, USA",40.1373098,-77.55471
"Winterstown, Pennsylvania",York County,"$19,934 ","Winterstown, York County, Pennsylvania, USA",39.8353793,-76.6180234
"Lehman Township, Pike County, Pennsylvania",Pike County,"$19,933 ","Lehman Township, Pike County, Pennsylvania, USA",41.1483768,-74.99198643
"West Abington Township, Pennsylvania",Montgomery County,"$19,931 ","Abington Township, Montgomery County, Pennsylvania, USA",40.11016755,-75.11672188
"Shamokin Dam, Pennsylvania",Snyder County,"$19,923 ","Shamokin Dam, Snyder County, Pennsylvania, 17876, USA",40.848696,-76.8196897
"Baldwin, Allegheny County, Pennsylvania",Allegheny County,"$19,918 ","Baldwin, Allegheny County, Pennsylvania, 15236, USA",40.3381252,-79.9789405
"North Codorus Township, York County, Pennsylvania",York County,"$19,912 ","North Codorus Township, York County, Pennsylvania, USA",39.8668228,-76.82296395
"Whitaker, Pennsylvania",Allegheny County,"$19,910 ","Whitaker, Allegheny County, Pennsylvania, USA",40.3984024,-79.8897718
"South Union Township, Pennsylvania",Lawrence County,"$19,905 ","Union Township, Lawrence County, Pennsylvania, USA",41.012716,-80.39763038
"South Lebanon Township, Pennsylvania",Lebanon County,"$19,903 ","South Lebanon Township, Lebanon County, Pennsylvania, USA",40.304669,-76.375795
"Union Township, Lebanon County, Pennsylvania",Lebanon County,"$19,896 ","Union Township, Lebanon County, Pennsylvania, 17038, USA",40.461583,-76.56582675
"Lake Wynonah, Pennsylvania",Schuylkill County,"$19,886 ","Lake Wynonah, South Manheim Township, Schuylkill County, Pennsylvania, USA",40.5869265,-76.18109329
"St. Marys, Pennsylvania",Elk County,"$19,885 ","Saint Marys, Elk County, Pennsylvania, United States of America",41.4280432,-78.5611275
"Stillwater, Pennsylvania",Columbia County,"$19,879 ","Stillwater, Columbia County, Pennsylvania, United States of America",41.1489732,-76.3657741
"Clinton Township, Butler County, Pennsylvania",Butler County,"$19,874 ","Clinton Township, Butler County, Pennsylvania, USA",40.70729375,-79.83091079
"Forward Township, Allegheny County, Pennsylvania",Allegheny County,"$19,860 ","Forward Township, Allegheny County, Pennsylvania, 15020, USA",40.22468,-79.9027665
"Blawnox, Pennsylvania",Allegheny County,"$19,858 ","Blawnox, Allegheny County, Pennsylvania, USA",40.4934017,-79.8606053
"West Fallowfield Township, Chester County, Pennsylvania",Chester County,"$19,853 ","West Fallowfield Township, Chester County, Pennsylvania, 19310, USA",39.90216015,-75.95827338
"Dunmore, Pennsylvania",Lackawanna County,"$19,851 ","Dunmore, Lackawanna County, Pennsylvania, 18512, USA",41.4198027,-75.6324112
"West Sadsbury Township, Pennsylvania",Chester County,"$19,839 ","West Sadsbury Township, Chester County, Pennsylvania, USA",39.97693485,-75.95554983
"Georgetown, Beaver County, Pennsylvania",Beaver County,"$19,838 ","Georgetown, Beaver County, Pennsylvania, USA",40.6414539,-80.4978449
"Penn Township, York County, Pennsylvania",York County,"$19,833 ","Penn Township, York County, Pennsylvania, USA",39.80799875,-76.95566458
"Hometown, Pennsylvania",Schuylkill County,"$19,831 ","Hometown, Schuylkill County, Pennsylvania, USA",40.8236184,-75.9804119
"East Berlin, Pennsylvania",Adams County,"$19,818 ","East Berlin, Adams County, Pennsylvania, USA",39.937597,-76.9785892
"Callimont, Pennsylvania",Somerset County,"$19,813 ","Callimont, Somerset County, Pennsylvania, USA",39.798139,-78.9164118
"Washington Township, Westmoreland County, Pennsylvania",Westmoreland County,"$19,804 ","Washington Township, Westmoreland County, Pennsylvania, 15613, USA",40.51013215,-79.61225174
"Dillsburg, Pennsylvania",York County,"$19,801 ","Dillsburg, York County, Pennsylvania, USA",40.1111911,-77.036342
"Prospect Park, Pennsylvania",Delaware County,"$19,801 ","Prospect Park, Delaware County, Pennsylvania, 19076, USA",39.8878904,-75.3082426
"Springdale, Pennsylvania",Allegheny County,"$19,798 ","Springdale, Allegheny County, Pennsylvania, 15144, USA",40.5409008,-79.7839373
"Summit Township, Erie County, Pennsylvania",Erie County,"$19,782 ","Summit Township, Erie County, Pennsylvania, USA",42.04070475,-80.06220659
"Hokendauqua, Pennsylvania",Lehigh County,"$19,771 ","Hokendauqua, Ironton Rail Trail, Whitehall, Lehigh County, Pennsylvania, 18052, USA",40.658685,-75.49608274
"Ridgway Township, Pennsylvania",Elk County,"$19,763 ","Ridgway Township, Elk County, Pennsylvania, USA",41.4399555,-78.73098081
"Mount Wolf, Pennsylvania",York County,"$19,760 ","Mount Wolf, York County, Pennsylvania, USA",40.0628918,-76.7042458
"Croydon, Pennsylvania",Bucks County,"$19,751 ","Croydon, Maryland Avenue, Bristol Township, Bucks County, Pennsylvania, 19021, USA",40.0894885,-74.89808049
"Halifax Township, Pennsylvania",Dauphin County,"$19,749 ","Halifax, Dauphin County, Pennsylvania, USA",40.4691049,-76.9314571
"Emigsville, Pennsylvania",York County,"$19,740 ","Emigsville, York County, Pennsylvania, 17318, USA",40.0132722,-76.7301339
"East Brunswick Township, Pennsylvania",Schuylkill County,"$19,737 ","East Brunswick Township, Schuylkill County, Pennsylvania, 17960, USA",40.6799477,-75.98161046
"Strausstown, Pennsylvania",Berks County,"$19,733 ","Strausstown, Berks County, Pennsylvania, 19559, USA",40.4918987,-76.1842892
"Oneida Township, Pennsylvania",Schuylkill County,"$19,729 ","Oneida, Schuylkill County, Pennsylvania, 18242, USA",40.9075863,-76.1254886
"Butler Township, Schuylkill County, Pennsylvania",Schuylkill County,"$19,723 ","Butler Township, Schuylkill County, Pennsylvania, USA",40.7693145,-76.32584992
"Hanover Township, Washington County, Pennsylvania",Washington County,"$19,722 ","Hanover Township, Washington County, Pennsylvania, 15026:15050, USA",40.421072,-80.46394787
"Franklin Township, Butler County, Pennsylvania",Butler County,"$19,712 ","Franklin Township, Butler County, Pennsylvania, USA",40.9335343,-80.02218522
"Plains Township, Pennsylvania",Luzerne County,"$19,712 ","Plains Township, Luzerne County, Pennsylvania, 18711, USA",41.263789,-75.79261784
"East Nottingham Township, Pennsylvania",Chester County,"$19,710 ","East Nottingham Township, Chester County, Pennsylvania, USA",39.75941165,-75.97551231
"Denver, Pennsylvania",Lancaster County,"$19,706 ","Denver, Lancaster County, Pennsylvania, USA",40.2331483,-76.1371684
"Wysox Township, Pennsylvania",Bradford County,"$19,706 ","Wysox, Bradford County, Pennsylvania, 18854, USA",41.7745194,-76.3993837
"Bridgewater, Pennsylvania",Beaver County,"$19,695 ","Bridgewater, Beaver County, Pennsylvania, USA",40.706715,-80.29868865
"Ross Township, Luzerne County, Pennsylvania",Luzerne County,"$19,694 ","Ross, Commerce Boulevard, Arena Hub Business Complex, Wilkes-Barre Township, Luzerne County, Pennsylvania, 18702, USA",41.2399336,-75.8449535
"Jenkins Township, Pennsylvania",Warren County,"$19,693 ","Jenkins Hill, Farmington Township, Warren County, Pennsylvania, 16345, USA",41.9633917,-79.1833809
"North Manheim Township, Pennsylvania",York County,"$19,683 ","Manheim Township, York County, Pennsylvania, 17329, USA",39.7680195,-76.86493956
"Schwenksville, Pennsylvania",Montgomery County,"$19,679 ","Schwenksville, Montgomery County, Pennsylvania, USA",40.256213,-75.4637876
"Montrose, Pennsylvania",Susquehanna County,"$19,662 ","Montrose, Susquehanna County, Pennsylvania, 18801, USA",41.8339654,-75.8771388
"Young Township, Jefferson County, Pennsylvania",Jefferson County,"$19,661 ","Young Township, Jefferson County, Pennsylvania, USA",40.9519785,-79.00797209
"Ephrata, Pennsylvania",Lancaster County,"$19,659 ","Ephrata, Lancaster County, Pennsylvania, 17522, USA",40.1799111,-76.1789242
"Montoursville, Pennsylvania",Lycoming County,"$19,648 ","Montoursville, Lycoming County, Pennsylvania, USA",41.2552213,-76.9128928
"Cecil-Bishop, Pennsylvania",Washington County,"$19,639 ","Cecil-Bishop, Cecil Township, Washington County, Pennsylvania, 15321, USA",40.3187605,-80.19975119
"South Manheim Township, Pennsylvania",Schuylkill County,"$19,638 ","South Manheim Township, Schuylkill County, Pennsylvania, 17922, USA",40.58601115,-76.13824176
